[10:36:49] [系统] 已完成一键重置：波形已清空 -> Peak已归零 -> 日志已刷新。
[10:36:50] [RUNNING] Avg:0c (ΔH:[0,0,0,0]) | MaxDiff:0c (Limit:750c) | V:[407,351,411,408]RPM | I:[0.60,0.64,0.69,0.00]A
[10:36:50] [RUNNING] Avg:-1c (ΔH:[-2,0,0,-1]) | MaxDiff:2c (Limit:750c) | V:[460,405,465,462]RPM | I:[0.60,0.64,0.69,0.00]A
[10:36:50] [RUNNING] Avg:-1c (ΔH:[-2,0,0,-3]) | MaxDiff:3c (Limit:750c) | V:[515,459,519,515]RPM | I:[0.60,0.64,0.69,0.00]A
[10:36:50] [RUNNING] Avg:-1c (ΔH:[-2,0,0,-3]) | MaxDiff:3c (Limit:750c) | V:[569,513,573,569]RPM | I:[0.60,0.64,0.69,0.00]A
[10:36:50] [RUNNING] Avg:-2c (ΔH:[-4,0,0,-6]) | MaxDiff:6c (Limit:750c) | V:[622,568,628,622]RPM | I:[0.60,0.64,0.69,0.00]A
[10:36:50] [RUNNING] Avg:-4c (ΔH:[-6,0,0,-9]) | MaxDiff:9c (Limit:750c) | V:[730,677,737,729]RPM | I:[0.60,0.64,0.69,0.00]A
[10:36:50] [RUNNING] Avg:-4c (ΔH:[-6,0,0,-9]) | MaxDiff:9c (Limit:750c) | V:[784,731,791,783]RPM | I:[1.18,0.64,0.69,1.11]A
[10:36:50] [RUNNING] Avg:-9c (ΔH:[-20,0,0,-17]) | MaxDiff:20c (Limit:750c) | V:[833,788,848,835]RPM | I:[1.18,0.64,0.69,1.11]A
[10:36:50] [RUNNING] Avg:-11c (ΔH:[-24,0,0,-21]) | MaxDiff:24c (Limit:750c) | V:[885,843,903,888]RPM | I:[1.18,0.64,0.69,1.11]A
[10:36:50] [RUNNING] Avg:-14c (ΔH:[-29,0,0,-25]) | MaxDiff:29c (Limit:750c) | V:[938,899,959,941]RPM | I:[1.18,0.64,0.69,1.11]A
[10:36:50] [RUNNING] Avg:-16c (ΔH:[-35,0,0,-31]) | MaxDiff:35c (Limit:750c) | V:[990,955,1014,993]RPM | I:[1.18,0.64,0.69,1.11]A
[10:36:50] [RUNNING] Avg:-22c (ΔH:[-47,0,0,-41]) | MaxDiff:47c (Limit:750c) | V:[1040,1012,1072,1044]RPM | I:[1.18,0.64,0.69,1.11]A
[10:36:50] [RUNNING] Avg:-25c (ΔH:[-53,0,0,-48]) | MaxDiff:53c (Limit:750c) | V:[1092,1068,1128,1096]RPM | I:[1.18,0.64,0.69,1.11]A
[10:36:50] [RUNNING] Avg:-64c (ΔH:[-53,-91,-60,-54]) | MaxDiff:38c (Limit:750c) | V:[1169,1091,1169,1170]RPM | I:[1.18,0.64,0.69,1.11]A
[10:36:50] [RUNNING] Avg:-69c (ΔH:[-65,-91,-60,-61]) | MaxDiff:31c (Limit:750c) | V:[1219,1148,1226,1223]RPM | I:[1.18,0.64,0.69,1.11]A
[10:36:50] [RUNNING] Avg:-78c (ΔH:[-83,-91,-60,-76]) | MaxDiff:31c (Limit:750c) | V:[1267,1207,1285,1273]RPM | I:[1.18,0.64,0.69,1.11]A
[10:36:50] [RUNNING] Avg:-82c (ΔH:[-91,-91,-60,-84]) | MaxDiff:31c (Limit:750c) | V:[1319,1263,1341,1324]RPM | I:[1.18,0.64,0.69,1.11]A
[10:36:50] [RUNNING] Avg:-86c (ΔH:[-100,-91,-60,-93]) | MaxDiff:40c (Limit:750c) | V:[1370,1320,1398,1376]RPM | I:[1.18,0.64,0.69,1.11]A
[10:36:50] [RUNNING] Avg:-90c (ΔH:[-109,-91,-60,-102]) | MaxDiff:49c (Limit:750c) | V:[1421,1376,1455,1427]RPM | I:[1.18,0.64,0.69,1.11]A
[10:36:50] [RUNNING] Avg:-100c (ΔH:[-128,-91,-60,-121]) | MaxDiff:68c (Limit:750c) | V:[1470,1436,1515,1475]RPM | I:[1.18,0.64,0.69,1.11]A
[10:36:50] [RUNNING] Avg:-105c (ΔH:[-138,-91,-60,-131]) | MaxDiff:78c (Limit:750c) | V:[1520,1493,1572,1526]RPM | I:[1.18,0.64,0.69,1.11]A
[10:36:50] [RUNNING] Avg:-110c (ΔH:[-149,-91,-60,-141]) | MaxDiff:89c (Limit:750c) | V:[1571,1550,1629,1577]RPM | I:[1.18,0.64,0.69,1.11]A
[10:36:50] [RUNNING] Avg:-110c (ΔH:[-149,-91,-60,-141]) | MaxDiff:89c (Limit:750c) | V:[1625,1604,1683,1631]RPM | I:[0.52,0.64,0.69,0.54]A
[10:36:50] [RUNNING] Avg:-127c (ΔH:[-183,-91,-60,-175]) | MaxDiff:123c (Limit:750c) | V:[1668,1669,1748,1674]RPM | I:[0.52,0.64,0.69,0.54]A
[10:36:50] [RUNNING] Avg:-133c (ΔH:[-195,-91,-60,-187]) | MaxDiff:135c (Limit:750c) | V:[1718,1727,1806,1725]RPM | I:[0.52,0.64,0.69,0.54]A
[10:36:50] [RUNNING] Avg:-136c (ΔH:[-207,-91,-60,-187]) | MaxDiff:147c (Limit:750c) | V:[1767,1783,1862,1780]RPM | I:[0.52,0.64,0.69,0.54]A
[10:36:50] [RUNNING] Avg:-146c (ΔH:[-220,-91,-60,-212]) | MaxDiff:160c (Limit:750c) | V:[1818,1842,1922,1825]RPM | I:[0.52,0.64,0.69,0.54]A
[10:36:50] [RUNNING] Avg:-159c (ΔH:[-247,-91,-60,-238]) | MaxDiff:187c (Limit:750c) | V:[1864,1905,1984,1871]RPM | I:[0.52,0.64,0.69,0.54]A
[10:36:50] [RUNNING] Avg:-166c (ΔH:[-261,-91,-60,-252]) | MaxDiff:201c (Limit:750c) | V:[1913,1963,2043,1920]RPM | I:[0.52,0.64,0.69,0.54]A
[10:36:50] [RUNNING] Avg:-173c (ΔH:[-275,-91,-60,-266]) | MaxDiff:215c (Limit:750c) | V:[1963,2022,2101,1970]RPM | I:[0.52,0.64,0.69,0.54]A
[10:36:50] [RUNNING] Avg:-180c (ΔH:[-290,-91,-60,-281]) | MaxDiff:230c (Limit:750c) | V:[2012,2081,2160,2019]RPM | I:[0.52,0.64,0.69,0.54]A
[10:36:50] [RUNNING] Avg:-196c (ΔH:[-321,-91,-60,-312]) | MaxDiff:261c (Limit:750c) | V:[2056,2144,2224,2063]RPM | I:[0.52,0.64,0.69,0.54]A
[10:36:50] [RUNNING] Avg:-204c (ΔH:[-337,-91,-60,-327]) | MaxDiff:277c (Limit:750c) | V:[2104,2203,2283,2112]RPM | I:[0.52,0.64,0.69,0.54]A
[10:36:50] [RUNNING] Avg:-212c (ΔH:[-353,-91,-60,-343]) | MaxDiff:293c (Limit:750c) | V:[2153,2263,2343,2161]RPM | I:[0.52,0.64,0.69,0.54]A
[10:36:50] [RUNNING] Avg:-220c (ΔH:[-369,-91,-60,-360]) | MaxDiff:309c (Limit:750c) | V:[2202,2322,2402,2209]RPM | I:[0.52,0.64,0.69,0.54]A
[10:36:50] [RUNNING] Avg:-237c (ΔH:[-403,-91,-60,-394]) | MaxDiff:343c (Limit:750c) | V:[2245,2387,2467,2252]RPM | I:[0.52,0.64,0.69,0.54]A
[10:36:50] [RUNNING] Avg:-246c (ΔH:[-420,-91,-60,-411]) | MaxDiff:360c (Limit:750c) | V:[2293,2446,2527,2301]RPM | I:[0.52,0.64,0.69,0.54]A
[10:36:51] [RUNNING] Avg:-254c (ΔH:[-438,-91,-60,-428]) | MaxDiff:378c (Limit:750c) | V:[2341,2506,2587,2349]RPM | I:[0.52,0.64,0.69,0.54]A
[10:36:51] [RUNNING] Avg:-254c (ΔH:[-438,-91,-60,-428]) | MaxDiff:378c (Limit:750c) | V:[2394,2561,2642,2402]RPM | I:[0.57,0.64,0.69,0.61]A
[10:36:51] [RUNNING] Avg:-282c (ΔH:[-492,-91,-60,-483]) | MaxDiff:432c (Limit:750c) | V:[2431,2632,2713,2439]RPM | I:[0.57,0.64,0.69,0.61]A
[10:36:51] [RUNNING] Avg:-291c (ΔH:[-511,-91,-60,-502]) | MaxDiff:451c (Limit:750c) | V:[2479,2693,2774,2486]RPM | I:[0.57,0.64,0.69,0.61]A
[10:36:51] [RUNNING] Avg:-300c (ΔH:[-530,-91,-60,-521]) | MaxDiff:470c (Limit:750c) | V:[2526,2753,2834,2534]RPM | I:[0.57,0.64,0.69,0.61]A
[10:36:51] [RUNNING] Avg:-321c (ΔH:[-574,-91,-60,-560]) | MaxDiff:514c (Limit:750c) | V:[2618,2875,2957,2629]RPM | I:[0.57,0.64,0.69,0.61]A
[10:36:51] [RUNNING] Avg:-632c (ΔH:[-638,-659,-600,-629]) | MaxDiff:59c (Limit:750c) | V:[2874,2828,2918,2882]RPM | I:[0.57,0.64,0.69,0.61]A
[10:36:51] [RUNNING] Avg:-653c (ΔH:[-681,-659,-600,-671]) | MaxDiff:81c (Limit:750c) | V:[2930,2910,3000,2938]RPM | I:[0.57,0.64,0.69,0.61]A
[10:36:51] [RUNNING] Avg:-664c (ΔH:[-704,-659,-600,-693]) | MaxDiff:104c (Limit:750c) | V:[2916,2909,3000,2924]RPM | I:[0.57,0.64,0.69,0.61]A
[10:36:51] [RUNNING] Avg:-766c (ΔH:[-746,-812,-767,-738]) | MaxDiff:74c (Limit:750c) | V:[2990,2917,3000,2998]RPM | I:[0.67,0.64,0.69,0.70]A
[10:36:51] [RUNNING] Avg:-781c (ΔH:[-778,-812,-776,-758]) | MaxDiff:54c (Limit:750c) | V:[2980,2926,3000,2994]RPM | I:[0.67,0.64,0.69,0.70]A
[10:36:51] [RUNNING] Avg:-842c (ΔH:[-808,-894,-854,-814]) | MaxDiff:86c (Limit:750c) | V:[3000,2914,2990,2998]RPM | I:[0.67,0.64,0.69,0.70]A
[10:36:51] [RUNNING] Avg:-879c (ΔH:[-853,-938,-876,-850]) | MaxDiff:88c (Limit:750c) | V:[2995,2910,3000,2999]RPM | I:[0.67,0.64,0.69,0.70]A
