[11:35:11] [系统] 已完成一键重置：波形已清空 -> Peak已归零 -> 日志已刷新。
[11:35:13] [RUNNING] Avg:-387c (ΔH:[-240,-554,-514,-240]) | MaxDiff:314c (Limit:750c) | V:[2689,2490,2524,2727]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:13] [RUNNING] Avg:-402c (ΔH:[-240,-573,-553,-240]) | MaxDiff:333c (Limit:750c) | V:[2752,2540,2563,2790]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:13] [RUNNING] Avg:-510c (ΔH:[-240,-640,-601,-557]) | MaxDiff:400c (Limit:750c) | V:[2927,2672,2706,2772]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:13] [RUNNING] Avg:-530c (ΔH:[-240,-682,-642,-557]) | MaxDiff:442c (Limit:750c) | V:[3000,2716,2751,2842]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:13] [RUNNING] Avg:-742c (ΔH:[-738,-759,-733,-739]) | MaxDiff:26c (Limit:750c) | V:[2969,2937,2964,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:13] [RUNNING] Avg:-763c (ΔH:[-762,-759,-767,-765]) | MaxDiff:8c (Limit:750c) | V:[2970,2952,2959,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:13] [RUNNING] Avg:-780c (ΔH:[-798,-759,-767,-796]) | MaxDiff:39c (Limit:750c) | V:[2967,2971,2978,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:13] [RUNNING] Avg:-824c (ΔH:[-828,-842,-799,-826]) | MaxDiff:43c (Limit:750c) | V:[2967,2939,2977,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:13] [RUNNING] Avg:-865c (ΔH:[-861,-895,-844,-859]) | MaxDiff:51c (Limit:750c) | V:[2967,2927,2970,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:13] [RUNNING] Avg:-974c (ΔH:[-959,-998,-958,-979]) | MaxDiff:40c (Limit:750c) | V:[2981,2937,2973,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:13] [RUNNING] Avg:-1012c (ΔH:[-1018,-1046,-982,-1003]) | MaxDiff:64c (Limit:750c) | V:[2960,2922,2973,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:13] [RUNNING] Avg:-1032c (ΔH:[-1018,-1067,-1008,-1033]) | MaxDiff:59c (Limit:750c) | V:[2978,2928,2976,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:13] [RUNNING] Avg:-1062c (ΔH:[-1078,-1067,-1038,-1063]) | MaxDiff:40c (Limit:750c) | V:[2960,2946,2976,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:13] [RUNNING] Avg:-1082c (ΔH:[-1078,-1067,-1086,-1096]) | MaxDiff:29c (Limit:750c) | V:[2980,2966,2967,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:13] [RUNNING] Avg:-1097c (ΔH:[-1078,-1067,-1116,-1126]) | MaxDiff:59c (Limit:750c) | V:[2998,2984,2967,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:13] [RUNNING] Avg:-1179c (ΔH:[-1176,-1208,-1175,-1156]) | MaxDiff:52c (Limit:750c) | V:[2957,2917,2950,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:13] [RUNNING] Avg:-1216c (ΔH:[-1207,-1238,-1204,-1216]) | MaxDiff:34c (Limit:750c) | V:[2975,2935,2968,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:13] [RUNNING] Avg:-1265c (ΔH:[-1272,-1281,-1234,-1273]) | MaxDiff:47c (Limit:750c) | V:[2970,2943,2985,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:13] [RUNNING] Avg:-1284c (ΔH:[-1272,-1281,-1278,-1303]) | MaxDiff:31c (Limit:750c) | V:[2988,2961,2977,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:13] [RUNNING] Avg:-1298c (ΔH:[-1272,-1281,-1308,-1333]) | MaxDiff:61c (Limit:750c) | V:[3000,2973,2970,2993]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:13] [RUNNING] Avg:-1394c (ΔH:[-1392,-1414,-1377,-1393]) | MaxDiff:37c (Limit:750c) | V:[2970,2936,2971,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:13] [RUNNING] Avg:-1410c (ΔH:[-1424,-1414,-1377,-1426]) | MaxDiff:49c (Limit:750c) | V:[2971,2955,2991,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:13] [RUNNING] Avg:-1429c (ΔH:[-1469,-1414,-1377,-1456]) | MaxDiff:92c (Limit:750c) | V:[2952,2963,3000,2989]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:13] [RUNNING] Avg:-1492c (ΔH:[-1490,-1512,-1475,-1492]) | MaxDiff:37c (Limit:750c) | V:[2971,2936,2973,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[11:35:13] [RUNNING] Avg:-1519c (ΔH:[-1519,-1541,-1496,-1519]) | MaxDiff:45c (Limit:750c) | V:[2970,2935,2976,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
