[16:49:34] [RUNNING] Avg:115845c (ΔH:[115844,115848,115848,115841]) | MaxDiff:7c (Limit:750c) | V:[2998,2995,2995,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:115876c (ΔH:[115874,115878,115877,115874]) | MaxDiff:4c (Limit:750c) | V:[3000,2997,2998,2999]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:115905c (ΔH:[115904,115908,115907,115901]) | MaxDiff:7c (Limit:750c) | V:[2998,2995,2996,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:115938c (ΔH:[115933,115938,115937,115946]) | MaxDiff:13c (Limit:750c) | V:[3000,2997,2997,2992]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:115968c (ΔH:[115963,115967,115967,115976]) | MaxDiff:13c (Limit:750c) | V:[3000,2997,2997,2992]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:116002c (ΔH:[116008,115997,115997,116006]) | MaxDiff:11c (Limit:750c) | V:[2993,2999,3000,2994]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:116028c (ΔH:[116023,116027,116027,116036]) | MaxDiff:13c (Limit:750c) | V:[3000,2997,2997,2992]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:116054c (ΔH:[116053,116057,116057,116051]) | MaxDiff:6c (Limit:750c) | V:[2998,2996,2996,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:116084c (ΔH:[116083,116087,116087,116081]) | MaxDiff:6c (Limit:750c) | V:[2998,2996,2996,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:116122c (ΔH:[116128,116117,116117,116125]) | MaxDiff:11c (Limit:750c) | V:[2993,2999,3000,2995]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:116148c (ΔH:[116143,116147,116147,116155]) | MaxDiff:12c (Limit:750c) | V:[3000,2997,2997,2992]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:116174c (ΔH:[116173,116177,116177,116170]) | MaxDiff:7c (Limit:750c) | V:[2998,2995,2995,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
[16:49:34] [RUNNING] Avg:116204c (ΔH:[116203,116207,116207,116200]) | MaxDiff:7c (Limit:750c) | V:[2998,2995,2995,3000]RPM | I:[0.00,0.00,0.00,0.00]A | CommErr:[0,0,0,0]
